segment_id,category,text,subjects,objects,passive_subjects,oblique_agents,active_verbs,passive_verbs,transitive_verbs,intransitive_verbs,agent_count,patient_count,passive_count
450,Conqueror,"Era un giovane dalla faccia rotonda, con un paio di baffetti che mettevano un pretesto di ironia sul",['che'],"['pretesto', 'giubba']",['casco'],[],['mettere'],['togliere'],['mettere'],[],1,3,1
451,Conqueror,"Fissava, sì, lo sguardo sulla pagina, ma i suoi occhi badavano a non perdere ogni mio lieve moviment",['occhio'],"['sguardo', 'movimento']",[],[],['badare'],[],[],['badare'],1,2,0
452,Conqueror,Fumava un sigaro.,['sigaro'],[],[],[],['fumare'],[],[],['fumare'],1,0,0
453,Conqueror,Con quel gesto voleva mostrarmi il suo disappunto.,[],['disappunto'],[],[],[],[],[],[],0,1,0
454,Conqueror,"La mia faccia sconvolta non lo indusse alle cerimonie, solite tra due ufficiali che si incontrano in","['faccia', 'che']",['lo'],[],[],"['indossere', 'incontrare']",[],['indossere'],['incontrare'],2,1,0
455,Conqueror,"Riprese a leggere e, poco dopo, interpretando la mia interruzione come a lui meglio conveniva, acces",[],"['interruzione', 'sigaro']",[],[],[],[],[],[],0,2,0
456,Conqueror,"Sembrava però soddisfatto di avermi svegliato, forse si annoiava.",[],[],[],[],[],[],[],[],0,0,0
457,Conqueror,"Accese il sigaro e guardò il mio orologio, che avevo messo sulla sedia, e non lo guardava certo sper",['che'],"['sigaro', 'orologio', 'lo', 'ora']",[],[],['mettere'],[],[],['mettere'],1,4,0
458,Conqueror,"Era un uomo sui quarant ’ anni, leggeva vecchi giornali, indifferente al disordine che lo circondava",['che'],"['giornale', 'lo']",[],[],['circondare'],[],['circondare'],[],1,2,0
459,Conqueror,L ’ ufficiale sembrava immerso nelle sue letture e così lo lasciammo.,['ufficiale'],['lo'],[],[],['sembrare'],[],[],['sembrare'],1,1,0
460,Conqueror,"Era un uomo alto e grosso, vestiva con molta cura, camminava tenendo le mani dietro la schiena.",[],['mano'],[],[],[],[],[],[],0,1,0
461,Conqueror,Forse … Ogni dubbio che egli avesse parlato con intenzione sparì quando l ’ ebbi osservato: il suo v,"['dubbio', 'egli', 'volto']",['fiducia'],[],[],"['sparere', 'parlare', 'ispirare']",[],['ispirare'],"['parlare', 'sparere']",3,1,0
462,Conqueror,Ancor più ispirava fiducia quel sigaro inadeguato che tradiva tutte le sue ambizioni,"['sigaro', 'che']","['fiducia', 'ambizione']",[],[],"['ispirare', 'tradire']",[],"['ispirare', 'tradire']",[],2,2,0
